snp-dists 0.6.3,2009_36,BA2175,BA5274,BA8206,BA8217,BA8315,BA8325,BA8327,BA8618,BA8663,BA9049,BA9272,BA9321,BA9326,BA9328,BA9381,BA9437,BA9712,BA9739,BA9751,BA9752,CA0053,CA0067,CA0076,CA0077,CA0100,CA0101,CA0102,CA0103,CA0115,CA0117,CA0122,CA0125,CA0135,CA0139,CA0141,CA0833,CA0873,CA0878,CA0883,CA0885,CA0909,CA0910,CA0912,CA0925,CA0926,CA0927,CA1310,CA4383,CA4403,CA4405,CA4465,DA2215,DA2290,DA3592,DA3741,DA3769,DA4589,DA4592,DA4594,DA4618,DA4619,DA4621,DA4624,DA4626,DA4632,DA4642,DA4643,DA4649,DA4650,DA4655,DA4809,DA5291,DA9429,EA0976,EA2246,EA2892,EA3951,EA4711,EA4737,F2_14D,FA9052,FA9055,FA9057,FA9058,FA9061,FA9063,FA9064,FA9065,FA9067,FA9074,FA9085,FA9092,FA9097,FA9098,FA9107,FA9110,FA9114,FA9118,FA9120,FA9124,FA9125,FA9126,FA9130,FA9131,FA9134,FA9136,FA9137,FA9143,FA9148,FA9149,FA9152,FA9160,FA9950,FA9952,GA3026,GA6612,GA6622,GA6630,GA6631,GA6643,GA6645,GA6646,GA6791,GA8084,HA0015,HA0017,HA0071,HA3119,HA7251,HA7630,HA7663,HA9360,HA9399,HA9450,HA9520,HA9631,IA0869,IA0983,IA1829,IA2820,IA3637,IA3885,IA4037,IA4046,IA4053,IA4072,IA4090,IA4093,IA4095,IA4127,IA4128,IA4131,IA4141,IA4156,IA4159,IA4417,IA6627,IA6645,IA7281,IA8900,IA9379,JA3253,JA4514,JA5749,JA7896,JA8189,JA8190,JA8241,JA8252,JA8266,JA8320,JA8385,JA8469,KA1772,KA1794,KA1850,KA1851,KA1855,KA3718,KA3808,KA3838,KA3859,KA3870,KA3909,KA3977,KA3983,KA4015,KA4076,KA4140,KA4205,KA4213,KA4242,KA4253,KA4309,KA4331,KA4334,KA4355,KA4595,KA4627,KA4871,KA5027,KA5737,KA5738,KA9540,LA0853,LA0995,LA1141,LA1145,LA1148,LA3619,LA3621,LA3622,LA3663,LA3664,LA3674,LA5125,LA5503,LA5585,LA7429,LA8319,LA8327,LA8340,LA8344,LA8346,LA8355,LA8360,LA8364,LA8371,LA8375,LA8377,LA8390,LA8392,LA8404,LA8411,LA8416,LA8424,LA8426,LA8428,LA8430,LA8434,LA8440,LA8441,LA8442,LA8445,LA8446,LA8448,LA8456,LA8457,LA8472,LA8475,LA8478,LA8483,LA8484,LA8485,LA8488,LA8498,LA8500,LA8507,LA8511,LA8515,LA8519,MA0016,MA0187,MA0279,MA0428,MA0476,MA0512,MA0520,MA1021,MA1055,MA1299,MA1951,MA3056,MA3100,MA3107,MA3136,MA3161,MA3646,MA5127,MA5807,MA5825,Reference
2009_36,0,30,40,47,55,59,49,44,32,71,63,44,27,26,42,46,35,57,50,35,48,35,45,57,48,58,52,56,65,77,77,56,76,39,53,47,63,61,33,50,49,41,49,44,39,38,52,38,68,40,61,61,49,46,46,46,40,64,41,45,48,45,30,45,45,59,30,67,43,45,26,44,27,54,42,39,68,57,24,47,20,50,35,39,34,37,35,40,43,31,44,73,41,39,33,62,65,30,79,74,74,35,57,62,39,35,44,40,36,27,29,26,44,58,52,51,58,48,40,44,50,49,51,57,66,62,61,44,62,61,64,61,47,45,54,53,60,49,54,37,39,36,54,52,46,37,61,42,50,44,58,55,43,57,68,56,48,61,48,47,46,46,46,46,39,52,55,55,64,54,63,57,61,63,46,45,45,44,45,48,65,71,64,47,44,68,70,53,44,52,77,34,71,72,35,48,74,67,41,39,39,37,44,62,42,50,39,35,27,27,44,41,44,37,39,53,68,52,54,47,71,53,43,47,70,52,34,42,42,34,55,30,22,43,29,48,76,42,50,35,55,43,44,45,51,41,49,74,46,52,48,34,41,34,43,35,66,48,51,37,38,38,29,68,36,38,53,33,50,28,57,81,73,27,69,35,42,44,48,55,57,33,49
BA2175,30,0,28,35,43,47,37,32,20,59,51,32,15,10,30,34,23,45,38,23,36,23,33,45,36,46,40,44,53,65,65,44,64,27,41,35,51,49,21,38,37,29,37,32,27,26,40,26,56,32,49,49,37,34,34,34,28,52,29,37,36,33,26,33,33,47,14,55,31,33,14,32,19,42,30,27,56,45,24,35,30,38,23,27,22,25,23,28,31,19,32,61,29,27,21,50,53,18,67,62,62,23,45,50,27,23,32,28,24,21,17,14,32,46,40,39,46,36,28,32,38,37,39,45,54,50,49,32,50,49,52,49,35,33,42,41,48,37,42,25,27,24,42,40,34,25,49,30,38,32,46,43,31,45,56,44,36,49,36,35,34,34,36,34,27,40,43,43,52,42,51,45,49,51,34,33,33,32,33,36,53,59,52,35,32,56,58,41,32,40,65,22,59,60,23,36,62,55,29,27,27,25,36,50,30,38,31,27,21,21,32,29,32,25,27,41,56,40,42,35,59,41,31,35,58,40,22,30,30,22,43,18,10,31,17,36,64,30,38,23,43,31,32,33,39,29,37,62,34,40,36,22,29,22,31,23,54,36,39,25,26,26,17,56,24,26,41,21,38,16,45,69,61,23,57,27,30,32,36,43,45,21,37
BA5274,40,28,0,35,43,47,37,32,30,63,53,24,25,24,24,28,33,51,44,23,42,23,25,39,30,40,34,38,45,67,67,38,66,27,33,27,45,53,13,42,31,21,39,24,27,18,40,36,58,42,43,49,31,26,34,34,28,46,23,47,28,25,36,27,25,51,28,57,23,25,24,26,29,48,30,27,56,45,34,27,40,38,23,19,22,25,23,28,37,19,38,63,35,27,21,50,53,18,73,64,64,33,39,50,27,23,32,28,24,31,27,24,38,46,40,39,40,36,28,32,40,39,31,49,54,50,49,32,50,53,52,49,29,25,42,35,48,37,46,35,27,34,48,40,34,35,51,30,38,32,46,43,31,45,56,44,36,49,36,35,26,44,46,44,27,44,45,45,54,44,45,47,49,51,26,25,25,24,25,36,53,59,52,35,42,56,58,43,32,44,65,32,59,60,33,36,62,55,29,27,37,35,46,50,30,48,41,37,31,31,32,21,24,17,19,33,56,42,46,35,63,41,31,35,62,40,32,30,30,32,43,28,20,31,27,28,66,30,42,23,43,31,32,33,31,33,29,62,26,44,36,32,21,32,31,33,58,46,31,25,26,26,27,56,34,36,41,31,42,26,49,73,63,33,57,37,30,32,36,43,47,31,39
BA8206,47,35,35,0,42,46,36,31,37,70,60,39,32,31,37,41,40,58,51,22,49,22,40,52,43,53,47,51,60,74,74,51,73,22,48,42,58,60,28,49,44,36,46,39,34,33,47,43,65,49,56,56,44,41,27,27,23,59,36,54,43,40,43,40,40,58,35,64,38,40,31,39,36,55,29,26,63,44,41,42,47,37,18,34,21,18,22,21,44,18,45,70,42,26,20,57,60,17,80,71,71,40,52,57,20,22,31,27,23,38,34,31,45,53,47,38,53,35,23,27,47,46,46,56,61,49,48,27,49,60,51,48,42,40,41,48,55,36,53,42,26,41,55,39,33,42,58,29,37,31,45,42,30,44,55,43,41,56,43,42,41,51,53,51,26,51,52,52,61,51,58,54,48,50,41,40,40,39,40,35,58,64,57,34,49,61,63,50,31,51,64,39,64,65,40,29,69,60,36,34,44,42,53,49,29,55,48,44,38,38,39,36,39,32,34,48,63,49,53,42,70,40,30,34,69,33,39,29,23,39,42,35,27,24,34,43,73,23,49,22,42,30,31,32,46,40,44,69,41,51,29,39,36,39,30,40,65,53,46,30,31,31,34,63,41,43,40,38,49,33,56,80,70,40,64,44,35,31,35,38,54,38,46
BA8217,55,43,43,42,0,18,40,35,45,78,68,47,40,39,45,49,48,66,59,30,57,30,48,60,51,61,55,59,68,82,82,59,81,34,56,50,66,68,36,57,52,44,54,47,42,41,55,51,73,57,64,64,52,49,41,41,35,67,44,62,51,48,51,48,48,66,43,72,46,48,39,47,44,63,37,30,71,16,49,50,55,41,30,42,29,32,30,35,52,26,53,78,50,34,28,65,68,25,88,79,79,48,60,65,34,30,39,35,31,46,42,39,53,61,55,42,61,33,34,39,55,54,54,64,69,21,20,39,21,68,23,20,50,48,45,56,63,40,59,50,34,49,63,11,41,50,66,37,45,39,17,14,38,16,27,15,49,64,51,50,49,59,61,59,34,59,60,60,69,59,66,62,20,22,49,48,48,47,48,39,66,72,65,38,57,69,71,58,35,59,72,47,72,73,48,43,77,68,44,42,52,50,61,21,33,63,56,52,46,46,47,44,47,40,42,56,71,57,61,50,78,12,38,38,77,47,47,33,37,47,14,43,35,38,42,51,81,37,57,26,14,38,35,40,54,48,52,77,49,59,43,47,44,47,38,48,73,61,54,38,39,39,42,71,49,51,12,46,57,41,64,88,78,48,72,52,43,39,39,50,62,46,54
BA8315,59,47,47,46,18,0,44,39,49,82,72,51,44,43,49,53,52,70,63,34,61,34,52,64,55,65,59,63,72,86,86,63,85,38,60,54,70,72,40,61,56,48,58,51,46,45,59,55,77,61,68,68,56,53,45,45,39,71,48,66,55,52,55,52,52,70,47,76,50,52,43,51,48,67,41,34,75,20,53,54,59,45,34,46,33,36,34,39,56,30,57,82,54,38,32,69,72,29,92,83,83,52,64,69,38,34,43,39,35,50,46,43,57,65,59,46,65,37,38,43,59,58,58,68,73,25,24,43,25,72,15,12,54,52,49,60,67,44,65,54,38,53,67,15,45,54,70,41,49,43,21,18,42,20,19,19,53,68,55,54,53,63,65,63,38,63,64,64,73,63,70,66,24,14,53,52,52,51,52,43,70,76,69,42,61,73,75,62,39,63,76,51,76,77,52,47,81,72,48,46,56,54,65,25,37,67,60,56,50,50,51,48,51,44,46,60,75,61,65,54,82,16,42,42,81,51,51,37,41,51,18,47,39,42,46,55,85,41,61,30,18,42,39,44,58,52,56,81,53,63,47,51,48,51,42,52,77,65,58,42,43,43,46,75,53,55,16,50,61,45,68,92,82,52,76,56,47,43,43,54,66,50,58
BA8325,49,37,37,36,40,44,0,29,39,72,62,41,34,33,39,43,42,60,53,24,51,24,42,54,45,55,49,53,62,76,76,53,75,28,50,44,60,62,30,51,46,38,48,41,36,35,49,45,67,51,58,58,46,43,35,35,29,61,38,56,45,42,45,42,42,60,37,66,40,42,33,41,38,57,31,24,65,42,43,44,49,31,24,36,23,26,24,29,46,20,47,72,44,28,22,59,62,19,82,73,73,42,54,59,28,24,33,29,25,40,36,33,47,55,49,28,55,33,29,33,49,48,48,58,63,47,46,33,47,62,49,46,44,42,35,50,57,34,55,44,28,43,57,37,35,44,60,31,39,33,43,40,32,42,53,41,43,56,45,44,43,53,55,53,28,53,54,54,63,53,60,56,46,48,43,42,42,41,42,33,60,66,59,32,51,63,65,52,29,53,66,41,66,67,42,37,71,62,38,36,46,44,55,47,27,57,50,46,40,40,41,38,41,34,36,50,65,51,55,44,72,38,32,32,71,41,41,23,31,41,40,37,29,32,36,45,75,31,51,20,40,32,25,34,48,42,46,71,43,53,37,41,38,41,32,42,67,55,48,32,33,33,36,65,43,45,38,40,51,35,58,82,72,42,66,46,37,33,33,44,56,40,48
BA8327,44,32,32,31,35,39,29,0,34,67,57,36,29,28,34,38,37,55,48,19,46,19,37,49,40,50,44,48,57,71,71,48,70,23,45,39,55,57,25,46,41,33,43,36,31,30,44,40,62,46,53,53,41,38,30,30,24,56,33,51,40,37,39,37,37,55,32,61,35,37,28,36,33,52,26,19,60,37,38,39,44,30,19,31,18,21,19,24,41,15,42,67,39,23,17,54,57,14,77,68,68,37,49,54,23,19,28,24,20,35,31,28,42,50,44,31,50,28,24,28,44,43,43,53,58,42,41,28,42,57,44,41,39,37,34,45,52,29,50,39,23,38,52,32,30,39,55,26,34,28,38,35,27,37,48,36,38,53,40,39,38,48,50,48,23,48,49,49,58,48,55,51,41,43,38,37,37,36,37,28,55,61,54,27,46,58,60,47,24,48,61,36,61,62,37,32,66,57,33,31,41,39,50,42,22,52,45,41,35,35,36,33,36,29,31,45,60,46,50,39,67,33,27,17,66,36,36,22,26,36,35,32,24,27,31,40,70,26,46,15,35,27,24,29,43,37,41,66,38,48,32,36,33,36,27,37,62,50,43,27,28,28,31,60,38,40,33,35,46,30,53,77,67,37,61,41,32,28,28,39,51,35,43
BA8618,32,20,30,37,45,49,39,34,0,61,53,34,17,16,32,36,25,47,40,25,38,25,35,47,38,48,42,46,55,67,67,46,66,29,43,37,53,51,23,40,39,31,39,34,29,28,42,28,58,34,51,51,39,36,36,36,30,54,31,39,38,35,28,35,35,49,20,57,33,35,16,34,21,44,32,29,58,47,26,37,32,40,25,29,24,27,25,30,33,21,34,63,31,29,23,52,55,20,69,64,64,25,47,52,29,25,34,30,26,23,19,16,34,48,42,41,48,38,30,34,40,39,41,47,56,52,51,34,52,51,54,51,37,35,44,43,50,39,44,23,29,26,44,42,36,27,51,32,40,34,48,45,33,47,58,46,38,51,38,37,36,36,38,36,29,42,45,45,54,44,53,47,51,53,36,35,35,34,35,38,55,61,54,37,34,58,60,43,34,42,67,24,61,62,25,38,64,57,31,29,25,23,38,52,32,40,33,29,23,23,34,31,34,27,29,43,58,42,44,37,61,43,33,37,60,42,16,32,32,16,45,16,12,33,19,38,66,32,40,25,45,33,34,35,41,31,39,64,36,42,38,16,31,16,33,17,56,36,41,27,28,28,19,58,26,24,43,23,40,16,47,71,63,25,59,29,32,34,38,45,47,23,39
BA8663,71,59,63,70,78,82,72,67,61,0,86,67,56,55,65,69,64,82,75,58,73,58,68,80,71,81,75,79,88,100,100,79,99,62,76,70,86,66,56,73,72,64,72,67,62,61,75,67,91,73,84,84,72,69,69,69,63,87,64,78,71,68,67,68,68,60,59,90,66,68,55,67,60,79,65,62,91,80,65,70,71,73,58,62,57,60,58,63,68,54,69,96,66,62,56,85,88,53,104,97,97,64,80,85,62,58,67,63,59,62,58,55,69,81,75,74,81,71,63,67,73,72,74,58,89,85,84,67,85,84,87,84,70,68,77,76,83,72,77,66,62,65,79,75,69,66,84,65,73,67,81,78,66,80,91,79,71,84,71,70,69,75,77,75,62,75,78,78,87,77,86,80,84,86,69,68,68,67,68,71,88,94,87,70,73,91,93,76,67,53,100,63,94,95,64,71,97,90,64,62,68,66,77,85,65,79,72,68,62,62,67,64,67,60,62,76,91,75,77,70,72,76,66,70,71,75,63,65,65,63,78,59,51,66,58,71,99,65,73,58,78,66,67,68,74,64,72,97,69,75,71,63,64,63,66,64,67,77,74,60,61,61,58,91,63,67,76,60,73,57,58,82,96,64,92,68,65,67,71,78,80,62,72
